id,source,target,size
11103,11701,11700,1
11104,11702,11701,1
11105,11703,11701,1
11106,11704,11701,1
11107,11705,11717,1
11108,11706,11717,1
11109,11707,11706,1
11110,11708,11707,1
11111,11709,11707,1
11112,11710,11706,1
11113,11711,11706,1
11114,11712,11706,1
11115,11713,11700,1
11116,11714,11707,1
11117,11714,11713,1
11118,11715,11707,1
11119,11716,11707,1
11120,11717,11700,1
11121,11718,11717,1
11122,11719,11700,1
11123,11720,11719,1
11125,11721,11705,1
11124,11721,11717,1
11126,11722,11721,1
11127,11725,11723,1
11128,11726,11723,1
11129,11727,11723,1
11130,11728,11700,1
11131,11729,11739,1
11132,11730,11724,1
11133,11731,11724,1
11134,11732,11731,1
11135,11733,11731,1
11136,11739,11724,1
11137,11740,11724,1
11138,11741,11740,1
11139,11742,11741,1
11140,11743,11724,1
11141,11745,11757,1
11142,11746,11757,1
11143,11747,15080,1
11144,11748,11757,1
11145,11749,14120,1
11146,11750,11757,1
11147,11751,11748,1
11148,11752,11748,1
11149,11753,11748,1
11150,11754,11748,1
11151,11755,11748,1
11152,11756,11748,1
11153,11757,11736,1
11154,11758,11757,1
11155,11759,11757,1
11156,11760,11759,1
11157,11761,11759,1
11158,11762,11757,1
11159,11763,11762,1
11160,11764,11762,1
11161,11765,11764,1
11162,11766,11764,1
11163,11767,11764,1
11164,11768,11762,1
11165,11769,11768,1
11166,11770,11768,1
11167,11771,11768,1
11168,11772,11771,1
11169,11773,11757,1
11170,11774,11757,1
11171,11775,15349,1
11172,11776,11773,1
11173,11777,11753,1
11174,11778,11753,1
11175,11779,11753,1
11176,11780,11753,1
11177,11781,11753,1
11178,11782,11753,1
11179,11783,11753,1
11180,11784,11753,1
11181,11785,11753,1
11182,11786,11753,1
11183,11787,11753,1
11184,11788,11753,1
11185,11789,11753,1
11186,11790,11753,1
11187,11791,11753,1
11188,11792,11753,1
11189,11793,11753,1
11190,11794,11753,1
11191,11795,11753,1
11192,11796,11753,1
11193,11797,11748,1
11194,11798,11797,1
11195,11799,11797,1
11196,11800,11748,1
11197,11801,11748,1
11198,11802,11748,1
11199,11803,11748,1
11200,11804,11757,1
11201,11805,11803,1
11202,11806,11803,1
11203,11807,11804,1
11204,11808,11807,1
11205,11809,11807,1
11206,11810,11807,1
11207,11811,11807,1
11208,11812,12548,1
11209,11813,11807,1
11210,11814,11804,1
11211,11815,11814,1
11212,11816,11814,1
11213,11817,11814,1
11214,11818,11817,1
11215,11819,11804,1
11216,11820,11819,1
11217,11821,11807,1
11218,11822,11821,1
11219,11823,11821,1
11220,11824,11804,1
11221,11825,11804,1
11222,11826,11804,1
11223,11827,11804,1
11224,11828,13125,1
11225,11829,11780,1
11226,11830,11780,1
11227,11831,11780,1
11228,11832,11830,1
11229,11833,11780,1
11230,11834,11833,1
11231,11835,11780,1
11232,11836,11835,1
11233,11837,11835,1
11234,11838,11835,1
11235,11839,11838,1
11236,11840,11835,1
11237,11841,11835,1
11238,11842,11841,1
11239,11843,11841,1
11240,11844,11841,1
11241,11845,17257,1
11242,11846,17257,1
11243,11847,11846,1
11244,11848,11835,1
11245,11849,11835,1
11246,11850,17024,1
11247,11851,11849,1
11248,11852,11835,1
11249,11853,11780,1
11250,11854,11826,1
11251,11854,16396,1
11252,11855,11826,1
11253,11856,11855,1
11254,11857,11780,1
11255,11858,11780,1
11256,11859,11793,1
11257,11860,11793,1
11258,11861,11860,1
11259,11862,11861,1
11260,11863,11861,1
11261,11864,11863,1
11262,11865,11861,1
11263,11866,11860,1
11264,11867,11860,1
11265,11868,11860,1
11266,11869,11860,1
11267,11870,11860,1
11268,11871,11748,1
11269,11872,11786,1
11270,11873,11780,1
11271,11874,11873,1
11272,11875,12643,1
11273,11876,12643,1
11274,11877,11875,1
11275,11878,11875,1
11276,11879,11878,1
11277,11880,11875,1
11278,11881,11880,1
11279,11882,11748,1
11280,11883,11882,1
11281,11884,11883,1
11282,11885,11883,1
11283,11886,11882,1
11284,11887,11886,1
11285,11888,11890,1
11286,11889,11890,1
11287,11890,11886,1
11288,11891,11886,1
11289,11892,12582,1
11290,11893,11886,1
11291,11894,11886,1
11292,11895,11886,1
11293,11896,11886,1
11294,11897,11882,1
11295,11898,11897,1
11296,11899,11736,1
11297,11900,11942,1
11298,11901,11899,1
11299,11902,11901,1
11300,11903,11901,1
11301,11904,17809,1
11302,11905,17809,1
11303,11906,11901,1
11304,11907,11906,1
11305,11908,17015,1
11306,11909,11886,1
11307,11910,11901,1
11308,11911,11910,1
11309,11912,11900,1
11310,11913,11900,1
11311,11914,11900,1
11312,11915,11913,1
11313,11916,11915,1
11314,11917,11913,1
11315,11918,11915,1
11316,11919,11915,1
11317,11920,11915,1
11318,11921,15515,1
11319,11922,11915,1
11320,11923,11736,1
11321,11924,11915,1
11322,11925,11736,1
11323,11926,11915,1
11324,11927,11899,1
11325,11928,14438,1
11326,11929,14438,1
11327,11930,11901,1
11328,11931,11927,1
11329,11932,11927,1
11330,11933,11927,1
11331,11934,11927,1
11332,11935,11934,1
11333,11936,11934,1
11334,11937,11934,1
11335,11938,11927,1
11336,11939,11927,1
11337,11940,11939,1
11338,11941,11927,1
11339,11942,11927,1
11340,11943,11927,1
11341,11944,11943,1
11342,11945,11943,1
11343,11946,11927,1
11344,11947,11943,1
11345,11948,11943,1
11346,11949,11943,1
11347,11950,11943,1
11348,11951,11943,1
11349,11952,11943,1
11350,11953,11943,1
11351,11954,50128,1
11352,11955,11954,1
11353,11956,11777,1
11354,11957,11777,1
11355,11958,11777,1
11356,11959,11956,1
11357,11960,11956,1
11358,11961,11956,1
11359,11962,11956,1
11360,11963,11956,1
11361,11964,11963,1
11362,11965,17094,1
11363,11966,11965,1
11364,11967,11965,1
11365,11968,11965,1
11366,11969,11965,1
11367,11970,11965,1
11368,11971,80283,1
11369,11972,80283,1
11370,11973,80283,1
11371,11974,80283,1
11372,11975,80283,1
11373,11976,80283,1
11374,11977,11963,1
11375,11978,11977,1
11376,11979,11978,1
11377,11980,11977,1
11378,11981,11977,1
11379,11982,11956,1
11380,11983,11956,1
11381,11984,11956,1
11382,11985,11736,1
11383,11986,11985,1
11384,11987,11956,1
11385,11988,11956,1
11386,11989,11777,1
11387,11990,11989,1
11388,11991,11990,1
11389,11992,11990,1
11390,11993,11989,1
11391,11994,11989,1
11392,11995,12010,1
11393,11996,11994,1
11394,11997,11994,1
11395,11998,11996,1
11396,11999,11994,1
11397,12000,11999,1
11398,12001,11994,1
11399,12002,11777,1
11400,12003,12002,1
11401,12004,11989,1
11402,12005,17057,1
11403,12006,12005,1
11404,12007,12006,1
11405,12008,12005,1
11406,12009,12005,1
11407,12010,11777,1
11408,12011,12010,1
11409,12012,12010,1
11410,12013,12010,1
11411,12014,11956,1
11412,12015,12014,1
11413,12016,11792,1
11414,12017,17565,1
11415,12018,11777,1
11416,12019,11783,1
11417,12020,11783,1
11418,12021,11783,1
11419,12022,11783,1
11420,12023,12022,1
11421,12024,12023,1
11422,12025,12022,1
11423,12026,11783,1
11424,12027,12026,1
11425,12028,11783,1
11426,12029,17199,1
11427,12030,17199,1
11428,12031,17223,1
11429,12032,17199,1
11430,12033,17199,1
11431,12034,17199,1
11432,12035,12034,1
11433,12036,11792,1
11434,12037,11792,1
11435,12038,12037,1
11436,12039,12037,1
11437,12040,12039,1
11438,12041,12040,1
11439,12042,12039,1
11440,12043,12042,1
11441,12044,12039,1
11442,12045,12044,1
11443,12046,11748,1
11444,12047,12046,1
11445,12048,12037,1
11446,12049,12037,1
11447,12050,12037,1
11448,12051,12037,1
11449,12052,12037,1
11450,12053,11792,1
11451,12054,11792,1
11452,12055,11994,1
11453,12056,11785,1
11454,12057,11785,1
11455,12058,11757,1
11456,12059,12058,1
11457,12060,12058,1
11458,12061,17686,1
11459,12062,12061,1
11460,12063,12061,1
11461,12064,14348,1
11462,12065,14348,1
11463,12066,14348,1
